sale_id,product_id,customer_id,sale_date,quantity,unit_price,discount_pct,discount_amount,total_amount
1,202,145,2024-07-21,14,5.93,0,0.0,83.02
2,54,56,2023-06-01,15,6.84,0,0.0,102.6
3,202,1,2023-05-29,18,5.93,20,21.35,85.39
4,34,139,2023-06-28,17,2.18,20,7.41,29.65
5,29,7,2024-01-02,9,8.13,0,0.0,73.17
6,203,61,2023-01-17,38,2.26,0,0.0,85.88
7,45,68,2024-03-07,4,2.64,0,0.0,10.56
8,135,30,2024-05-02,48,6.04,0,0.0,289.92
9,115,93,2023-04-22,33,4.23,10,13.96,125.63
10,116,129,2023-02-14,15,3.07,10,4.61,41.44
11,187,134,2024-10-20,20,4.91,5,4.91,93.29
12,8,16,2024-02-16,31,7.56,20,46.87,187.49
13,110,28,2024-03-30,32,7.05,15,33.84,191.76
14,19,21,2023-06-01,21,4.35,10,9.13,82.22
15,17,33,2024-10-10,18,1.84,10,3.31,29.81
16,150,141,2024-01-26,46,6.43,0,0.0,295.78
17,153,136,2024-06-01,19,1.68,5,1.6,30.32
18,155,111,2024-12-19,7,4.6,20,6.44,25.76
19,30,142,2023-08-09,47,2.57,20,24.16,96.63
20,111,116,2023-12-14,15,5.7,5,4.28,81.22
21,212,117,2023-04-08,26,4.98,5,6.47,123.01
22,81,110,2023-09-19,21,2.66,15,8.38,47.48
23,96,40,2023-03-10,44,2.05,5,4.51,85.69
24,24,22,2023-04-09,6,8.91,5,2.67,50.79
25,191,96,2023-03-03,9,3.18,10,2.86,25.76
26,151,144,2024-11-17,36,2.2,0,0.0,79.2
27,32,106,2024-11-12,23,7.1,20,32.66,130.64
28,241,109,2023-10-22,47,5.02,0,0.0,235.94
29,154,80,2024-08-14,23,6.08,0,0.0,139.84
30,130,55,2024-05-08,10,6.59,15,9.89,56.01
31,58,28,2024-07-23,23,5.91,20,27.19,108.74
32,95,30,2024-08-10,49,4.93,0,0.0,241.57
33,58,110,2024-09-28,36,5.91,20,42.55,170.21
34,158,143,2024-11-04,2,8.19,10,1.64,14.74
35,213,69,2023-10-07,2,3.91,0,0.0,7.82
36,180,80,2023-01-07,22,5.14,0,0.0,113.08
37,47,37,2024-02-15,37,2.34,15,12.99,73.59
38,18,37,2023-02-01,48,8.88,15,63.94,362.3
39,24,136,2024-03-05,14,8.91,5,6.24,118.5
40,117,88,2023-11-16,11,4.15,0,0.0,45.65
41,185,84,2024-09-02,50,7.99,10,39.95,359.55
42,22,14,2024-09-24,10,6.06,0,0.0,60.6
43,13,21,2024-11-08,18,7.55,5,6.79,129.11
44,109,125,2024-02-29,39,6.27,5,12.23,232.3
45,70,56,2023-04-27,49,2.94,10,14.41,129.65
46,89,111,2024-11-25,8,5.84,0,0.0,46.72
47,174,125,2023-11-12,34,3.05,15,15.55,88.15
48,12,57,2023-02-26,26,7.85,10,20.41,183.69
49,2,53,2023-05-21,20,3.17,0,0.0,63.4
50,196,66,2023-05-03,19,6.74,0,0.0,128.06
51,2,128,2023-06-29,48,3.17,5,7.61,144.55
52,34,98,2023-08-24,35,2.18,15,11.45,64.85
53,129,144,2023-12-29,43,4.13,20,35.52,142.07
54,19,102,2024-03-22,48,4.35,0,0.0,208.8
55,5,118,2023-11-17,5,2.2,20,2.2,8.8
56,148,110,2024-12-27,37,4.98,5,9.21,175.05
57,164,107,2024-02-19,19,8.22,0,0.0,156.18
58,6,84,2024-09-24,11,5.7,20,12.54,50.16
59,118,93,2023-04-19,6,8.79,5,2.64,50.1
60,63,112,2024-06-20,38,6.92,5,13.15,249.81
61,21,102,2023-12-14,20,6.52,15,19.56,110.84
62,57,86,2023-03-20,50,4.03,0,0.0,201.5
63,131,30,2023-07-18,34,8.53,10,29.0,261.02
64,232,90,2024-10-22,23,7.06,15,24.36,138.02
65,209,38,2023-05-30,16,6.8,0,0.0,108.8
66,66,51,2023-06-06,12,4.15,10,4.98,44.82
67,195,20,2024-10-05,12,5.72,20,13.73,54.91
68,127,119,2024-08-16,49,1.68,10,8.23,74.09
69,115,145,2024-10-01,42,4.23,15,26.65,151.01
70,83,81,2023-03-11,10,7.1,5,3.55,67.45
71,121,114,2023-10-09,41,1.69,0,0.0,69.29
72,152,15,2023-03-17,23,3.18,10,7.31,65.83
73,80,119,2023-02-28,29,4.67,0,0.0,135.43
74,95,74,2023-04-03,5,4.93,15,3.7,20.95
75,158,130,2024-08-17,25,8.19,5,10.24,194.51
76,142,11,2024-08-08,29,6.5,20,37.7,150.8
77,167,49,2024-05-02,21,6.19,10,13.0,116.99
78,129,39,2023-04-16,4,4.13,5,0.83,15.69
79,208,88,2024-05-31,46,2.29,0,0.0,105.34
80,166,45,2024-12-25,3,7.24,0,0.0,21.72
81,113,113,2024-09-16,34,5.59,10,19.01,171.05
82,41,94,2024-02-01,24,3.7,0,0.0,88.8
83,105,87,2023-02-23,44,6.87,10,30.23,272.05
84,203,86,2023-04-07,5,2.26,0,0.0,11.3
85,143,99,2024-11-03,19,6.72,0,0.0,127.68
86,233,39,2024-08-19,22,2.93,0,0.0,64.46
87,170,37,2024-11-02,23,2.54,0,0.0,58.42
88,179,101,2024-12-26,9,5.16,10,4.64,41.8
89,241,22,2024-01-21,20,5.02,10,10.04,90.36
90,165,85,2024-12-20,9,4.87,15,6.57,37.26
91,213,135,2024-11-17,6,3.91,15,3.52,19.94
92,109,131,2024-01-07,24,6.27,0,0.0,150.48
93,80,47,2024-05-12,14,4.67,0,0.0,65.38
94,50,58,2023-03-21,9,8.83,0,0.0,79.47
95,76,26,2024-07-06,33,4.54,20,29.96,119.86
96,214,135,2023-12-11,3,3.59,15,1.62,9.15
